,movie_title,link,story
10,星際穿越,https://movie.douban.com/subject/1889243/,近未來的地球黃沙遍野，小麥、秋葵等基礎農作物相繼因枯萎病滅絕，人類不再像從前那樣仰望星空，放縱想像力和靈感的迸發，而是每日在沙塵暴的肆虐下倒數著所剩不多的光景。在家務農的前NASA宇航員庫珀（馬修·麥康納MatthewMcConaughey飾）接連在女兒墨菲（麥肯吉·弗依MackenzieFoy飾）的書房發現奇怪的重力場現象，隨即得知在某個未知區域內前NASA成員仍秘密進行一個拯救人類的計畫。多年以前土星附近出現神秘蟲洞，NASA借機將數名宇航員派遣到遙遠的星系尋找適合居住的星球。在布蘭德教授（邁克爾·凱恩MichaelCaine飾）的勸說下，庫珀忍痛告別了女兒，和其他三名專家教授女兒艾米莉亞·布蘭德（安妮·海瑟薇AnneHathaway飾）、羅米利（大衛·吉雅西DavidGyasi飾）、多伊爾（韋斯·本特利WesB...
11,楚門的世界,https://movie.douban.com/subject/1292064/,楚門（金•凱瑞JimCarrey飾）是一個平凡得不能再平凡的人，除了一些有些稀奇的經歷之外——初戀女友突然失蹤、溺水身亡的父親忽然似乎又出現在眼前，他和絕大多數30多歲的美國男人絕無異樣。這令他倍感失落。他也曾試過離開自己生活了多年的地方，但總因種種理由而不能成行。直到有一天，他忽然發覺自己似乎一直在被人跟蹤，無論他走到哪裡，幹什麼事情。這種感覺愈來愈強烈。楚門決定不惜一切代價逃離這個他生活了30多年的地方，去尋找他的初戀女友。但他卻發現自己怎樣也逃不出去。真相其實很殘忍。
12,海上鋼琴師,https://movie.douban.com/subject/1292001/,本片講述了一個鋼琴天才傳奇的一生。1900年，Virginian號豪華郵輪上，一個孤兒被遺棄在頭等艙，由船上的水手撫養長大，取名1900（蒂姆•羅斯飾）。1900慢慢長大，顯示出了無師自通的非凡鋼琴天賦，在船上的樂隊表演鋼琴，每個聽過他演奏的人，都被深深打動。爵士樂鼻祖傑尼聽說了1900的高超技藝，專門上船和他比賽，最後自歎弗如，黯然離去。可惜，這一切的事情都發生在海上，1900從來不願踏上陸地，直到有一天，他愛上了一個女孩，情愫在琴鍵上流淌。他會不會為了愛情，踏上陸地開始新的生活，用他的琴聲驚豔世界？他將怎樣譜寫自己非凡的人生。
13,三傻大鬧寶萊塢,https://movie.douban.com/subject/3793023/,本片根據印度暢銷書作家奇坦·巴哈特（ChetanBhagat）的處女作小說《五點人》（FivePointSomeone）改編而成。法蘭（馬德哈萬RMadhavan飾）、拉杜（沙曼·喬希SharmanJoshi飾）與蘭喬（阿米爾·汗AamirKhan飾）是皇家工程學院的學生，三人共居一室，結為好友。在以嚴格著稱的學院裡，蘭喬是個非常與眾不同的學生，他不死記硬背，甚至還公然頂撞校長“病毒”（波曼·伊拉尼BomanIrani飾），質疑他的教學方法。他不僅鼓動法蘭與拉杜去勇敢追尋理想，還勸說校長的二女兒碧雅（卡琳娜·卡普KareenaKapoor飾）離開滿眼銅臭的未婚夫。蘭喬的特立獨行引起了模範學生“消音器”（奧米·維嘉OmiVaidya飾）的不滿，他約定十年後再與蘭喬一決高下，看哪種生活方式更能取得成功。本片獲孟...
14,機器人總動員,https://movie.douban.com/subject/2131459/,西元2805年，人類文明高度發展，卻因污染和生活垃圾大量增加使得地球不再適於人類居住。地球人被迫乘坐飛船離開故鄉，進行一次漫長無邊的宇宙之旅。臨行前他們委託Buynlarge的公司對地球垃圾進行清理，該公司開發了名為WALL·E（WasteAllocationLoadLifters–Earth地球廢品分裝員）的機器人擔當此重任。這些機器人按照程式日復一日、年復一年辛勤工作，但隨著時間的流逝和惡劣環境的侵蝕，WALL·E們接連損壞、停止運動。最後只有一個仍在進行這項似乎永無止境的工作。經歷了漫長的歲月，它開始擁有了自己的意識。它喜歡將收集來的寶貝小心翼翼藏起，喜歡收工後看看幾百年前的歌舞片，此外還有一隻蟑螂朋友作伴。直到有一天，一艘來自宇宙的飛船打破了它一成不變的生活……本片榮獲2009年第81屆奧斯卡最佳動畫長片獎。
15,放牛班的春天,https://movie.douban.com/subject/1291549/,1949年的法國鄉村，音樂家克萊門特（熱拉爾·朱尼奧飾）到了一間外號叫“塘低”的男子寄宿學校當助理教師。學校裡的學生大部分都是難纏的問題兒童，體罰在這裡司空見慣，學校的校長（弗朗索瓦·貝萊昂飾）只顧自己的前途，殘暴高壓。性格沉靜的克萊門特嘗試用自己的方法改善這種狀況，他重新創作音樂作品，組織合唱團，決定用音樂的方法來打開學生們封閉的心靈。然而，事情並不順利，克萊門特發現學生皮埃爾·莫安琦（讓-巴蒂斯特·莫尼耶飾）擁有非同一般的音樂天賦，但是單親家庭長大的他，性格異常敏感孤僻，怎樣釋放皮埃爾的音樂才能，讓克萊門特頭痛不已；同時，他與皮埃爾母親的感情也漸漸微妙起來。
16,無間道,https://movie.douban.com/subject/1307914/,1991年，香港黑幫三合會會員劉健明（劉德華）聽從老大韓琛（曾志偉）的吩咐，加入員警部隊成為黑幫臥底，韓琛許諾劉健明會幫其在七年後晉升為見習督察。1992年，員警訓練學校優秀學員陳永仁（梁朝偉）被上級要求深入到三合會做臥底，終極目標是成為韓琛身邊的紅人。2002年，兩人都不負重望，也都身背重壓，劉健明漸想成為一個真正的好人，陳永仁則盼著儘快回歸員警身份。重案組從陳永仁手中獲悉一批毒品交易情報，鎖緊目標人物韓琛，沒料情報被劉健明泄出，雙方行動均告失敗。但此事將雙方均有臥底的事實暴露，引發雙方高層清除內鬼的決心。命運迥異又相似的劉健明和陳永仁開始在無間道的旅程中接受嚴峻考驗。
17,瘋狂動物城,https://movie.douban.com/subject/25662329/,故事發生在一個所有哺乳類動物和諧共存的美好世界中，兔子裘蒂（金妮弗·古德溫GinniferGoodwin配音）從小就夢想著能夠成為一名懲惡揚善的刑警，憑藉著智慧和努力，裘蒂成功的從警校中畢業進入了瘋狂動物城警察局，殊不知這裡是大型肉食類動物的領地，作為第一隻，也是唯一的小型食草類動物，裘蒂會遇到怎樣的故事呢？近日裡，城中接連發生動物失蹤案件，就在全部警員都致力於調查案件真相之時，裘蒂卻被局長（伊德瑞斯·艾爾巴IdrisElba配音）發配成為了一名無足輕重的交警。某日，正在執勤的兔子遇見了名為尼克（傑森·貝特曼JasonBateman配音）的狐狸，兩人不打不相識，之後又誤打誤撞的接受了尋找失蹤的水獺先生的任務，如果不能在兩天之內找到水獺先生，裘蒂就必須自願離開警局。裘蒂找到了尼克，兩人聯手揭露了一個隱藏在瘋狂動物城之中的驚天秘密。
18,大話西遊之大聖娶親,https://movie.douban.com/subject/1292213/,至尊寶（周星馳飾）被月光寶盒帶回到五百年前，遇見紫霞仙子（朱茵飾），被對方打上烙印成為對方的人，並發覺自己已變成孫悟空。紫霞與青霞（朱茵飾）本是如來佛祖座前日月神燈的燈芯（白天是紫霞，晚上是青霞），二人雖然同一肉身卻仇恨頗深，因此紫霞立下誓言，誰能拔出她手中的紫青寶劍，誰就是她的意中人。紫青寶劍被至尊寶於不經意間拔出，紫霞決定以身相許，卻遭一心記掛白晶晶（莫文蔚飾）的至尊寶拒絕。後牛魔王救下迷失在沙漠中的紫霞，並逼紫霞與他成婚，關鍵時刻，至尊寶現身。
19,熔爐,https://movie.douban.com/subject/5912992/,來自首爾的啞語美術老師仁浩（孔宥飾）來到霧津，應聘慈愛聾啞人學校。天降大霧，他意外撞車，維修時邂逅了人權組織成員柔珍（鄭有美飾）。仁浩妻子早亡，8歲女兒天生哮喘由祖母照看，所以他不辭辛苦謀職養家。然而，雙胞胎的校長與教導主任竟逼仁浩索賄5千萬韓元。同時，仁浩逐漸發現學校籠罩著一種緊張壓抑的氣氛，令人窒息。有三個孩子引人關注：聰穎的金妍鬥（金賢秀飾）、貪吃的陳宥利（鄭仁絮飾）和弟弟自殺身亡的全民秀（白承煥飾），民秀總是滿臉淤青。下課後，仁浩還聽到女廁所中有呼喊與哭泣，在門衛的阻攔下他未深究。之後。他意外目睹了校長行賄員警，教導員毒打民秀，宿導溺罰妍鬥的行徑。一個驚天的隱秘被慢慢揭開，真相令韓國震驚……本片取材於2005年光州一所聾啞障礙人學校的真實事件，改編自韓國作家孔枝泳的同名小說。
